"","UNITID","total_students_in_school_sample","total_debt_in_school_sample","school_average_student_debt","INSTNM","UGDS","TUITIONFEE_IN","LONGITUDE","LATITUDE"
"1",100751,4305,104475709,24268.4573751452,"The University of Alabama",31900,10780,-87.545978,33.211875
"2",100858,2672,59282116,22186.4206586826,"Auburn University",24209,11492,-85.488258,32.599378
"3",102614,250,6249899,24999.596,"University of Alaska Fairbanks",4410,7080,-147.823146,64.85756
"4",104151,17743,444127898,25031.1614721299,"Arizona State University Campus Immersion",44038,11338,-111.934383,33.417721
"5",104179,4988,105951547,21241.2884923817,"University of Arizona",33715,12711,-110.950815,32.232672
"6",106397,3029,70733666,23352.1512050182,"University of Arkansas",22766,9384,-94.176981,36.070009
"7",110422,1293,24052448,18602.0479505027,"California Polytechnic State University-San Luis Obispo",20453,9943,-120.657311,35.299513
"8",110583,6693,119062299,17789.0779919319,"California State University-Long Beach",32900,6834,-118.11204,33.782818
"9",110635,3939,58864606,14944.0482355928,"University of California-Berkeley",31345,14253,-122.260463,37.871918
"10",110662,5028,82401025,16388.4297931583,"University of California-Los Angeles",31537,13240,-118.442179,34.07178
"11",126614,3275,66284890,20239.6610687023,"University of Colorado Boulder",30630,12500,-105.270823,40.008781
"12",129020,5326,120298400,22587.0071348104,"University of Connecticut",18585,17226,-72.249948,41.809098
"13",130943,3419,75830720,22179.210295408,"University of Delaware",19047,14280,-75.752822,39.679577
"14",134097,8494,183846851,21644.3196373911,"Florida State University",32881,5656,-84.291921,30.440756
"15",134130,5709,109586524,19195.3974426344,"University of Florida",34523,6381,-82.347911,29.64629
"16",139959,4811,101640741,21126.738931615,"University of Georgia",29726,12080,-83.374039,33.956262
"17",141574,2464,54812596,22245.3717532468,"University of Hawaii at Manoa",12255,12186,-157.818979,21.298598
"18",142285,1168,29391095,25163.6087328767,"University of Idaho",7227,8304,-117.014167,46.727406
"19",145637,5132,98820927,19255.8314497272,"University of Illinois Urbana-Champaign",33080,15122,-88.229114,40.104718
"20",151102,1342,36237156,27002.3517138599,"Purdue University Fort Wayne",6750,8589,-85.108962,41.117278
"21",151351,4675,94512763,20216.6337967914,"Indiana University-Bloomington",32794,10947,-86.526559,39.16609
"22",153603,6555,156111971,23815.7087719298,"Iowa State University",27930,9320,-93.648504,42.026212
"23",153658,4396,103546146,23554.6282984531,"University of Iowa",22920,9606,-91.536425,41.661935
"24",155317,2613,62177217,23795.337543054,"University of Kansas",19003,11166,-95.247567,38.958549
"25",155399,2710,66103361,24392.3841328413,"Kansas State University",16949,10440,-96.581077,39.188648
"26",157085,4378,105844729,24176.5027409776,"University of Kentucky",21864,12360,-84.504747,38.038911
